date,time,collectors,num_bees,species,location,flower,cage_id,parent_batch_id,notes
6/23/2026,9:59:00 AM,"SCH, RMB, AGH",10,Apis mellifera,"42.4033115, -85.3841674",Tradescantia ohiensis,1,1,
6/23/2026,10:48:00 AM,"SCH, RMB, AGH",10,Apis mellifera,"42.4033115, -85.3841674",Tradescantia ohiensis,2,1,
6/24/2026,9:45:00 AM,SCH,10,Apis mellifera,"42.3922541, -85.3846328",Tradescantia ohiensis,3,2,
6/24/2026,9:59:00 AM,SCH,9,Apis mellifera,"42.3922541, -85.3846328",Tradescantia ohiensis,4,2,Not used
6/29/2026,10:54:00 AM,SCH,10,Apis mellifera,"42.3954156, -85.3895821",Cirsium arvense,1,3,
6/29/2026,11:03:00 AM,SCH,10,Apis mellifera,"42.3954156, -85.3895821",Cirsium arvense,2,3,
6/30/2026,10:02:00 AM,SCH,6,Apis mellifera,"42.3954156, -85.3895821",Cirsium arvense,3,4,Died
6/30/2026,10:32:00 AM,SCH,6,Apis mellifera,"42.3954156, -85.3895821",Cirsium arvense,4,4,
7/1/2026,9:00:00 AM,SCH,9,Apis mellifera,"42.4099520, -85.3914023",Asclepias syriaca,1,4,
7/1/2026,10:00:00 AM,SCH,9,Apis mellifera,"42.4099520, -85.3914023",Asclepias syriaca,2,4,
7/2/2026,9:50:00 AM,SCH,9,Apis mellifera,"42.4056579, -85.3954618",Monarda fistulosa,3,5,
7/2/2026,10:27:00 AM,SCH,8,Apis mellifera,"42.4056579, -85.3954618",Monarda fistulosa,4,5,
7/4/2026,12:10:00 AM,"SCH, RMB, CE",10,Apis mellifera,"42.3959980, -85.3816448",Asclepias syriaca,1,6,
7/7/2026,9:12:00 AM,ALD,10,Apis mellifera,"42.3959980, -85.3816448",Asclepias syriaca,2,7,
7/7/2026,9:24:00 AM,ALD,10,Apis mellifera,"42.3959980, -85.3816448",Asclepias syriaca,3,7,
7/8/2026,10:22:00 AM,SCH,10,Apis mellifera,"42.401929, -85.380049",Cirsium arvense,4,8,
7/8/2026,10:41:00 AM,SCH,10,Apis mellifera,"42.401929, -85.380049",Cirsium arvense,1,8,Not used
