"trial_ID","start_date","cage_id","species","batch_id","temp","trt_arm","first_choice","latency","is_excluded","sodium_level","notes","starving_start","trial_start","starvation_duration_mins","chose_trt","trt_visits","ctrl_visits","trt_time_secs","ctrl_time_secs","parent_batch_id","cage_id_char","batch_id_char","location","flower","pct_sodium_error","sodium_add_datetime","time_since_sodium_added","time_of_day_hrs","starvation_duration_mins_z","temp_z","pct_sodium_error_z","time_since_sodium_added_z","time_of_day_hrs_z","prop_trt_time_secs"
1,"6/24/2026","1","Apis mellifera","1A",20.3,"R","R",10,FALSE,"low","",2026-06-24 09:30:00,2026-06-24 12:30:00,180,1,14,11,584,215,"1","1","1A","42.4033115, -85.3841674","Tradescantia ohiensis",0.000488901926273515,2026-06-24 11:48:00,42,12.5,-1.28575861392199,-1.23711626652465,3.71735699038899,-0.859122796794685,-1.03960638672768,0.730913642052566
2,"6/24/2026","1","Apis mellifera","1A",19.9,"L","L",47,FALSE,"low","",2026-06-24 09:30:00,2026-06-24 12:55:00,205,1,2,2,226,632,"1","1","1A","42.4033115, -85.3841674","Tradescantia ohiensis",0.000488901926273515,2026-06-24 11:48:00,67,12.9166666666667,-0.772276739352502,-1.83188370235381,3.71735699038899,-0.371649580274777,-0.79030029878339,0.263403263403263
3,"6/24/2026","1","Apis mellifera","1A",19.9,"R","R",9,FALSE,"low","",2026-06-24 09:30:00,2026-06-24 13:30:00,240,1,26,31,300,395,"1","1","1A","42.4033115, -85.3841674","Tradescantia ohiensis",0.000488901926273515,2026-06-24 11:48:00,102,13.5,-0.0534021149552261,-1.83188370235381,3.71735699038899,0.310812922853093,-0.441271775661388,0.431654676258993
4,"6/24/2026","1","Apis mellifera","1A",20,"L","L",7,FALSE,"low","",2026-06-24 09:30:00,2026-06-24 14:00:00,270,1,12,9,432,394,"1","1","1A","42.4033115, -85.3841674","Tradescantia ohiensis",0.000488901926273515,2026-06-24 11:48:00,132,14,0.562776134528154,-1.68319184339652,3.71735699038899,0.895780782676982,-0.142104470128244,0.523002421307506
5,"6/24/2026","1","Apis mellifera","1A",20.1,"R","L",125,FALSE,"low","sluggish. near death",2026-06-24 09:30:00,2026-06-24 14:35:00,305,0,1,1,352,258,"1","1","1A","42.4033115, -85.3841674","Tradescantia ohiensis",0.000488901926273515,2026-06-24 11:48:00,167,14.5833333333333,1.28165075892543,-1.53449998443922,3.71735699038899,1.57824328580485,0.206924052993758,0.577049180327869
6,"6/24/2026","2","Apis mellifera","1B",20.2,"L","L",10,FALSE,"low","",2026-06-24 13:00:00,2026-06-24 16:00:00,180,1,6,5,397,483,"1","2","1B","42.4033115, -85.3841674","Tradescantia ohiensis",0.000130373847006357,2026-06-24 15:14:00,46,16,-1.28575861392199,-1.38580812548194,0.984919509983444,-0.7811270821515,1.05456475200433,0.451136363636364
7,"6/24/2026","2","Apis mellifera","1B",19.9,"R","R",25,FALSE,"low","",2026-06-24 13:00:00,2026-06-24 16:30:00,210,1,5,3,425,357,"1","2","1B","42.4033115, -85.3841674","Tradescantia ohiensis",0.000130373847006357,2026-06-24 15:14:00,76,16.5,-0.669580364438606,-1.83188370235381,0.984919509983444,-0.196159222327611,1.35373205753748,0.543478260869565
8,"6/24/2026","2","Apis mellifera","1B",20,"L","L",28,FALSE,"low","",2026-06-24 13:00:00,2026-06-24 17:00:00,240,1,1,1,11,860,"1","2","1B","42.4033115, -85.3841674","Tradescantia ohiensis",0.000130373847006357,2026-06-24 15:14:00,106,17,-0.0534021149552261,-1.68319184339652,0.984919509983444,0.388808637496278,1.65289936307062,0.0126291618828932
9,"6/24/2026","2","Apis mellifera","1B",19.9,"R","R",11,FALSE,"low","",2026-06-24 13:00:00,2026-06-24 17:30:00,270,1,4,4,241,604,"1","2","1B","42.4033115, -85.3841674","Tradescantia ohiensis",0.000130373847006357,2026-06-24 15:14:00,136,17.5,0.562776134528154,-1.83188370235381,0.984919509983444,0.973776497320167,1.95206666860377,0.285207100591716
10,"6/24/2026","2","Apis mellifera","1B",20,"L","R",40,FALSE,"low","",2026-06-24 13:00:00,2026-06-24 18:00:00,300,0,4,6,526,351,"1","2","1B","42.4033115, -85.3841674","Tradescantia ohiensis",0.000130373847006357,2026-06-24 15:14:00,166,18,1.17895438401153,-1.68319184339652,0.984919509983444,1.55874435714406,2.25123397413691,0.599771949828962
